category,location,capture_date,relpath,filename,width,height,megapixels,orientation,size_mb,SELECT_yes,draft_title,draft_price_usd
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075700_0010_D.JPG,DJI_20250927075700_0010_D.JPG,8192,6144,50.3,landscape,16.5,,Palisades Reservoir Mountain Vista No. 09,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075707_0011_D.JPG,DJI_20250927075707_0011_D.JPG,8192,6144,50.3,landscape,16.4,,Palisades Reservoir Mountain Vista No. 10,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075716_0012_D.JPG,DJI_20250927075716_0012_D.JPG,8192,6144,50.3,landscape,13.6,,Palisades Reservoir Mountain Vista No. 11,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075726_0013_D.JPG,DJI_20250927075726_0013_D.JPG,8192,6144,50.3,landscape,14.0,,Palisades Reservoir Mountain Vista No. 12,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075737_0014_D.JPG,DJI_20250927075737_0014_D.JPG,12288,6912,84.9,landscape,33.6,,Palisades Reservoir Mountain Vista No. 13,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075759_0015_D.JPG,DJI_20250927075759_0015_D.JPG,12288,6912,84.9,landscape,36.6,,Palisades Reservoir Mountain Vista No. 14,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927075812_0016_D.JPG,DJI_20250927075812_0016_D.JPG,12288,6912,84.9,landscape,39.4,,Palisades Reservoir Mountain Vista No. 15,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927090831_0018_D.JPG,DJI_20250927090831_0018_D.JPG,12288,6912,84.9,landscape,37.0,,Palisades Reservoir Mountain Vista No. 16,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927090909_0019_D.JPG,DJI_20250927090909_0019_D.JPG,8192,6144,50.3,landscape,14.4,,Palisades Reservoir Mountain Vista No. 17,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094318_0021_D.JPG,DJI_20250927094318_0021_D.JPG,12288,6912,84.9,landscape,47.1,,Palisades Reservoir Mountain Vista No. 18,45
